COUNTRY,COAL MINE
Russia,Oktyabrinsky Coal Mine
Russia,Olzherassky Coal Mine
Russia,Olzherassky Coal Mine
Russia,Razrez Raspadsky Koksovy Mine
Russia,Stepanovsky Coal Mine
Russia,Stepanovsky Coal Mine
Russia,Syllakhsky Coal Mine
Russia,Taibinsky Coal Mine
Russia,Tailepsky Coal Mine
Russia,Ziryansky Coal Mine
South Africa,Dama Coal Mine
South Africa,Ikoti Coal Mine
South Africa,Modderfontein Colliery
South Africa,Ukufisa Colliery
South Africa,Woestalleen Colliery
Vietnam,Mine at Binh Minh
China,Wucaiwan Mining Area No.2 Surface Coal Mine
Canada,Elko Coal Mine
India,Rajapur-South Jharia Coal Mine
Mongolia,Ulaan Ovoo Coal Mine
South Africa,Eastside Colliery
United States,Little Spring Creek Mine
United States,Yellow Creek #21 Coal Mine
United States,S-28 Lewis Creek Coal Mine
United States,S-17 Cumberland Coal Mine
United States,Rob Fork Contour Coal Mine
United States,Long Fork Surface No.12 Mine
United States,Sands Hill Strip Coal Mine
United States,Southern Division Strip Coal Mine
United States,No. 2 Coal Mine
United States,Sycamore Surface Mine
United States,Lost Flat Surface Mine
United States,Rocky Run Surface Mine
United States,North Surface Coal Mine
United States,SHM-44 Coal Mine
United States,Hilsmeyer Coal Mine
United States,Murry Creek Surface Mine
United States,No. 2 Contour & Auger Coal Mine
United States,EPB Strip Coal Mine
India,Gopalichak Coal Mine
United States,Narley Coal Mine
United States,Walker Coal Mine
United States,McClure Strip Mine
United States,Spruce Pine Coal Mine
United States,Samples Mine Highwall Coal Mine
United States,Coal Loaders Coal Mine
United States,SHM-10 Coal Mine
United States,Minway No. 1 Coal Mine
United States,Apollo Surface Mine
Mexico,Nueva Rosita Coal Mine
United States,Pocahontas Hwm 52 Coal Mine
United States,Solomon Run Coal Mine
United States,"Searles No. 2, 3, 4, 5, 6 Coal Mines"
United States,Superior Surface Mine
United States,Laurel Sand And Stone Coal Mine
United States,Hawkeye Coal Mine
United States,White Flame Surface Mine
United States,Aces Branch Coal Mine #9
United States,Red Fox Surface Mine
United States,Airport 1 Coal Mine
United States,RES Houtzdale Coal Mine
United States,Slate Creek Coal Mine
United States,Low Gap Surface Mine
United States,Job #49 Coal Mine
United States,Addcar Systems 03 Coal Mine
United States,CAM Highwall Coal Mine
United States,Carlos Surface Coal Mine
United States,RES Shawville Coal Mine
United States,Seven Pines Coal Mine
United States,Shannon No. 3 Coal Mine
United States,Ram Surface Mine No. 1
United States,SHM-71 Coal Mine
United States,Foster South Coal Mine
United States,Barrackville Coal Refuse Pile
United States,Mast Coal Mine
United States,Fisher Coal Mine
United States,Tasara Strip Coal Mine
United States,Job #3 Coal Mine
United States,No. 26 Strip Coal Mine
United States,Highwall Miner No.1
United States,Cabin Run Coal Mine
United States,CCU Belmont Strip Coal Mine
United States,Choctaw Mine Coal Mine
United States,Black Warrior Mine No. 1
United States,Flat Top Coal Mine
United States,Long Branch Surface Mine
United States,RES Morrisdale Coal Mine
United States,Ace In The Hole Coal Mine
United States,Job 5 Coal Mine
India,Gondudih Khas Kusunda Coal Mine
United States,Twilight Mtr Surface Mine
United States,Black Hawk Coal Mine
United States,Laurel Branch Surface Mine
United States,Mine No. 1 (IL)
United States,Golden Eagle Mine
United States,Grapevine South Surface Mine
India,Kankanee Coal Mine
United States,Orange Strip Coal Mine
United States,Tom Bailey Branch Surface Mine
Russia,Nekkovy Coal Mine
United States,Dry Branch Surface Mine
India,East Bassuriya Coal Mine
United States,Kuhn Ridge Coal Mine
India,Nichitpur Coal Mine
United States,Mine No. 6
India,Gourangdih
India,Dipka
India,Jitpur (CAPTIVE)
India,KUMARDHUBI
India,�CHAPAPUR -II�
India,BHAGABAND
India,MOONIDIH PROJECT
India,SENDRA BANSJORA
India,ENA
India,BASANTIMATA-DAHIBARI COLLIERY
India,WEST MUDIDIH COLLIERY
India,KUYA /KOCP
India,C. SAUNDA
India,KUJU
India,PAREJ EAST
India,N. URIMARI(BIRSA)
India,Pakri Barwadih Coal Mine Project (CAPTIVE)
India,KATHARA
India,AKK OCP
India,CHURI
India,ASHOKA
India,TETARIA KHAR
India,NEW MAJRI UG TO OC
India,KOLGAON
India,UMRER EXPN. (AMB RIVER
India,AMLOHRI
India,SHOBHAPUR
China,Bao'erhu Shugaobu Coal Mine
China,Baorihushuo Coal Mine
China,Inner Mongolia Jungar Banner Yangjiaqu Coal Mine
China,Yunnan Xianfeng Surface Coal Mine
China,Inner Mongolia Wunite Coal Mine
China,Inner Mongolia Dalat Banner  Wuhua Coal Mine
China,Inner Mongolia Ordos Juxinlong Coal Mine
China,Inner Mongolia Jungar Banner Wujialiang Coal Mine
China,Inner Mongolia Babaogou Coal Mine
China,Inner Mongolia Dalat Banner  Chuangxin Coal Mine
China,Inner Mongolia Chuangye Coal Mine
China,Inner Mongolia Xilingol League Chagan Tolgoi Coal Mine
China,Heilongjiang Heihe Sanjitun Coal Mine
China,Heilongjiang Oupu Coal Mine
China,Yunnan Zaojiao Coal Mine
China,Guizhou Guojiashan Coal Mine
China,Gansu Tuludong Surface Coal Mine
China,Yunnan Shicaohe Coal Mine
USA,Liberty Mine
Indonesia,AGM Coal Mine
Indonesia,MIP Coal Mine
Indonesia,Pakar North Coal Mine
Indonesia,TIA Coal Mine
Kazakhstan,Maikubensky Coal Mine
Kazakhstan,Maikubensky Coal Mine
Kosovo,Sibovc Coal Mine
Laos,Hongsa Coal Mine
Mongolia,Buuruljuut Coal Mine
Niger,Salkadamna Coal Mine
North Macedonia,Brod-Gneotino Coal Mine
North Macedonia,Suvodol Coal Mine
Pakistan,Thar Coal Mine
Pakistan,Thar Coal Mine
Poland,KWB Be?chat�w Coal Mine
Poland,Konin Coal Mines
Poland,Turow Coal Mine
Poland,Turow Coal Mine
Poland,Zloczew Coal Mine
Romania,Oltenia Energy Complex
Russia,Berezovsky 1 Coal Mine
Russia,Borodinsky Coal Mine
Russia,Borodinsky Coal Mine
Russia,Erkovetskiy Coal Mine
Russia,Kharanorsky Coal Mine
Russia,Pereyaslovskiy Coal Mine
Serbia,Drmno Coal Mine
Serbia,Drmno Coal Mine
T�rkiye,Bolu G�yn�k Coal Mine
T�rkiye,Bursa Coal Mine
T�rkiye,Can Coal Mine
T�rkiye,�ay?rhan Coal Mine
T�rkiye,�?rp?lar Coal Mine
T�rkiye,Seyitomer Coal Mine
T�rkiye,Sivas Kangal Coal Mine
T�rkiye,South Aegean Coal Mines
T�rkiye,Tufanbeyli Coal Mine
T�rkiye,Tuncbilek Coal Mine
Indonesia,Asia Multi Investama Coal Mine
Indonesia,Bebatu Coal Mine
Indonesia,DPS Coal Mine
Indonesia,Rizqi Utama Indobara Coal Mine
Kazakhstan,Kumyskuduk Coal Mine
North Macedonia,Oslomej Coal Mine
Russia,Kansky Coal Mine
Russia,Kutinsky Coal Mine
Russia,Kutinsky Coal Mine
Russia,Luchegorsky Coal Mine
Russia,Luchegorsky Coal Mine
Russia,Munaysky Coal Mine
Russia,Palanskoye Coal Mine
Russia,Ureisky Coal Mine
Russia,Ureisky Coal Mine
Russia,Zagustaisky Coal Mine
China,West No. 3 Surface Coal Mine
India,Umarsar Lignite Mine
India,Mata No Madh Lignite Coal Mine
Uzbekistan,Apartak Coal Mine
India,Khadsaliya Lignite Mine
United States,Marshall Coal Mine
India,Giral Coal Mine
United States,Five Forks Coal Mine
United States,Savage Coal Mine
India,Vastan Lignite Mine
India,Sonari Coal Mine
India,Matasukh & Kasnau Coal Mine
Germany,Amsdorf Coal Mine
United States,Beulah Coal Mine
India,Bhavnagar Lignite Mine
India,Bhavnagar Lignite Mine
India,Tara(East and West)
India,Barjora
India,Jambad OC
India,Khotadih
India,Amgaon
India,Manikpur
India,Bijari
India,Baroud
India,RAJMAHAL
India,�BADJNA�
India,RAJPURA
India,KHARKAREE
India,KB 10/12 PITS UG
India,AMALGAMATED BOCP MINE
India,BANSDEOPUR
India,ROCP
India,PHULARITAND
India,TETULMARI
India,Jharia Division
India,SARUBERA/CHAINPUR
India,HESAGARA
India,RAJRAPPA
India,GIDI 'C'�
India,Bermo coal mine (CAPTIVE)
India,GOVINDPUR PH.II
India,SEL. DHORI
India,KDH
India,AMRAPALI
India,NANDGAON INCL
India,DURGAPUR
India,BALLARPUR OC
India,NEW MAJRI - II (A) EXPN
India,"AMALG, YEKONA I& II"
India,PENGANGA
India,MURPAR
India,BELLORA-NAIGAON DEEP
India,RAJUR/BHANDEWADA INC
India,PIMPALGAON
India,SAONER-III
India,BHANEGAON
India,ADASA UG TO OC
India,GOKUL
India,Belgaon (CAPTIVE)
India,BLOCK - B
India,TAWA.I
USA,Addcar System 16 Coal Mine
Indonesia,ABK Coal Mines
